[23:21:46] [INFO ] Loaded script client_scripts:item_aspects.js in 0.012 s
[23:21:46] [INFO ] Loaded script client_scripts:packets.js in 0.001 s
[23:21:46] [INFO ] Loaded script client_scripts:player_ui.js in 0.001 s
[23:21:47] [INFO ] Loaded script client_scripts:scanner.js in 0.007 s
[23:21:47] [INFO ] Hello, World! (You will see this line every time client resources reload)
[23:21:47] [INFO ] Loaded script client_scripts:script.js in 0.001 s
[23:21:47] [INFO ] Loaded 5/5 KubeJS client scripts in 0.043 s
[23:21:58] [ERR  ] Error occurred in ponder kubejs.test.data_test: dev.latvian.mods.rhino.EvaluatorException: Class 'dev.latvian.kubejs.item.ItemStackJS' is not allowed! (startup_scripts:test.js#91)
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:41] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:41] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:42] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:42] [ERR  ] Unknown Painter type: 
[23:22:43] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:43] [ERR  ] Unknown Painter type: 
[23:22:43] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:43] [ERR  ] Unknown Painter type: 
[23:22:43] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:43] [ERR  ] Unknown Painter type: 
[23:22:43] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:43] [ERR  ] Unknown Painter type: 
[23:22:43] [ERR  ] Error occurred while handling event 'client.tick': ReferenceError: "vis" is not defined. (client_scripts:player_ui.js#2)
[23:22:43] [ERR  ] Unknown Painter type: 
